K,strategy,rep,spearman
200,random,39,0.8741258741258742
200,random,40,0.7972027972027973
200,random,41,0.9300699300699302
200,random,42,0.7622377622377624
200,random,43,0.6573426573426573
200,random,44,0.9090909090909092
200,random,45,0.9440559440559443
200,random,46,0.46153846153846156
200,random,47,0.9300699300699302
200,random,48,0.9510489510489512
200,random,49,0.6923076923076924
200,random,50,0.9090909090909092
200,random,51,0.9580419580419581
200,random,52,0.9440559440559443
200,random,53,0.8741258741258742
200,random,54,0.8181818181818183
200,random,55,0.7902097902097903
200,random,56,0.8881118881118882
200,random,57,0.8461538461538463
200,random,58,0.9020979020979022
200,random,59,0.9090909090909092
200,random,60,0.8671328671328673
200,random,61,0.9790209790209792
200,random,62,0.965034965034965
200,random,63,0.7482517482517484
200,random,64,0.9160839160839163
200,random,65,0.8111888111888113
200,random,66,0.9160839160839163
200,random,67,0.5594405594405596
200,random,68,0.8531468531468532
200,random,69,0.8671328671328673
200,random,70,0.8671328671328673
200,random,71,0.7762237762237763
200,random,72,0.8251748251748254
200,random,73,0.7272727272727274
200,random,74,0.8181818181818183
200,random,75,0.9720279720279721
200,random,76,0.8811188811188813
200,random,77,0.9440559440559443
200,random,78,0.9090909090909092
200,random,79,0.8671328671328673
200,random,80,0.9230769230769231
200,random,81,0.9510489510489512
200,random,82,0.9440559440559443
200,random,83,0.46153846153846156
200,random,84,0.8811188811188813
200,random,85,0.9510489510489512
200,random,86,0.8181818181818183
200,random,87,0.9020979020979022
200,random,88,0.8041958041958043
200,random,89,0.8951048951048951
200,random,90,0.9440559440559443
200,random,91,0.8811188811188813
200,random,92,0.9440559440559443
200,random,93,0.9580419580419581
200,random,94,0.9720279720279721
200,random,95,0.9370629370629372
200,random,96,0.8391608391608393
200,random,97,0.8461538461538463
200,random,98,0.8951048951048951
200,random,99,0.8741258741258742
500,top_discrimination,0,0.46153846153846156
500,fisher_info_at_mean,0,0.6713286713286714
500,random,0,0.9370629370629372
500,random,1,0.965034965034965
500,random,2,0.9230769230769231
500,random,3,0.9440559440559443
500,random,4,0.9230769230769231
500,random,5,0.9720279720279721
