subject,pathology,attribute,group_A,group_B,n_A,n_B,acc_A,acc_B,delta_acc,z
Qwen2.5-VL-3B,Atelectasis,ap_pa,AP,PA,7421,2571,0.3769,0.66939,-0.29249,-25.6796
Qwen2.5-VL-3B,Pneumothorax,ap_pa,AP,PA,7421,2571,0.85352,0.90159,-0.04807,-6.1643
Qwen2.5-VL-3B,Pleural Effusion,ap_pa,AP,PA,7421,2571,0.47999,0.69817,-0.21818,-19.118
Qwen2.5-VL-3B,Pleural Other,ap_pa,AP,PA,7421,2571,0.91591,0.73901,0.1769,23.0156
Qwen2.5-VL-3B,Fracture,ap_pa,AP,PA,7421,2571,0.75488,0.61688,0.138,13.4217
Qwen2.5-VL-3B,Support Devices,ap_pa,AP,PA,7421,2571,0.64358,0.77207,-0.12849,-12.0038
Qwen2.5-VL-7B,No Finding,ap_pa,AP,PA,7424,2576,0.89426,0.65489,0.23937,28.0393
Qwen2.5-VL-7B,Enlarged Cardiomediastinum,ap_pa,AP,PA,7424,2576,0.71794,0.47244,0.2455,22.5804
Qwen2.5-VL-7B,Cardiomegaly,ap_pa,AP,PA,7424,2576,0.66514,0.42547,0.23967,21.4257
Qwen2.5-VL-7B,Lung Opacity,ap_pa,AP,PA,7424,2576,0.50445,0.56405,-0.05961,-5.2175
Qwen2.5-VL-7B,Lung Lesion,ap_pa,AP,PA,7424,2576,0.85156,0.88043,-0.02887,-3.628
Qwen2.5-VL-7B,Edema,ap_pa,AP,PA,7424,2576,0.4643,0.85986,-0.39556,-34.9035
Qwen2.5-VL-7B,Consolidation,ap_pa,AP,PA,7424,2576,0.45744,0.69061,-0.23317,-20.4062
Qwen2.5-VL-7B,Pneumonia,ap_pa,AP,PA,7424,2576,0.74798,0.70963,0.03835,3.8147
Qwen2.5-VL-7B,Atelectasis,ap_pa,AP,PA,7424,2576,0.36961,0.66964,-0.30003,-26.3907
Qwen2.5-VL-7B,Pneumothorax,ap_pa,AP,PA,7424,2576,0.86557,0.90955,-0.04398,-5.8537
Qwen2.5-VL-7B,Pleural Effusion,ap_pa,AP,PA,7424,2576,0.47441,0.69798,-0.22357,-19.5945
Qwen2.5-VL-7B,Pleural Other,ap_pa,AP,PA,7424,2576,0.93252,0.74689,0.18562,25.4161
Qwen2.5-VL-7B,Fracture,ap_pa,AP,PA,7424,2576,0.75539,0.6184,0.13699,13.3436
Qwen2.5-VL-7B,Support Devices,ap_pa,AP,PA,7424,2576,0.73114,0.75815,-0.02701,-2.6865
gpt-4o,No Finding,ap_pa,AP,PA,1198,289,0.97162,0.93772,0.0339,2.8161
gpt-4o,Enlarged Cardiomediastinum,ap_pa,AP,PA,1198,289,0.68781,0.41869,0.26913,8.5325
gpt-4o,Cardiomegaly,ap_pa,AP,PA,1198,289,0.72871,0.50173,0.22698,7.4536
gpt-4o,Lung Opacity,ap_pa,AP,PA,1198,289,0.79466,0.61938,0.17528,6.2677
gpt-4o,Lung Lesion,ap_pa,AP,PA,1198,289,0.8798,0.96194,-0.08214,-4.1017
gpt-4o,Edema,ap_pa,AP,PA,1198,289,0.64274,0.70934,-0.0666,-2.1389
gpt-4o,Consolidation,ap_pa,AP,PA,1198,289,0.66361,0.84429,-0.18068,-6.0091
gpt-4o,Pneumonia,ap_pa,AP,PA,1198,289,0.65275,0.92734,-0.27458,-9.1975
gpt-4o,Atelectasis,ap_pa,AP,PA,1198,289,0.60601,0.69896,-0.09295,-2.9283
gpt-4o,Pneumothorax,ap_pa,AP,PA,1198,289,0.90568,0.95848,-0.0528,-2.9036
gpt-4o,Pleural Effusion,ap_pa,AP,PA,1198,289,0.61686,0.66782,-0.05096,-1.6077
gpt-4o,Pleural Other,ap_pa,AP,PA,1198,289,0.95826,0.92042,0.03785,2.673
gpt-4o,Fracture,ap_pa,AP,PA,1198,289,0.87062,0.87543,-0.00481,-0.2196
gpt-4o,Support Devices,ap_pa,AP,PA,1198,289,0.84307,0.7128,0.13027,5.149
GPT-5.4,No Finding,age,60-79,<40,9360,3754,0.88088,0.86201,0.01886,2.9571
GPT-5.4,Enlarged Cardiomediastinum,age,60-79,<40,9360,3754,0.58558,0.69046,-0.10489,-11.1608
GPT-5.4,Cardiomegaly,age,60-79,<40,9360,3754,0.68932,0.77331,-0.08399,-9.6147
GPT-5.4,Lung Opacity,age,60-79,<40,9360,3754,0.81303,0.80341,0.00962,1.2706
GPT-5.4,Lung Lesion,age,60-79,<40,9360,3754,0.8703,0.85615,0.01415,2.1512
GPT-5.4,Edema,age,60-79,<40,9360,3754,0.64744,0.76425,-0.11682,-12.9719
GPT-5.4,Consolidation,age,60-79,<40,9360,3754,0.739,0.79755,-0.05855,-7.0545
GPT-5.4,Pneumonia,age,60-79,<40,9360,3754,0.76976,0.81406,-0.0443,-5.5579
GPT-5.4,Atelectasis,age,60-79,<40,9360,3754,0.73376,0.75519,-0.02143,-2.5291
GPT-5.4,Pneumothorax,age,60-79,<40,9360,3754,0.87618,0.84204,0.03414,5.1942
GPT-5.4,Pleural Effusion,age,60-79,<40,9360,3754,0.80748,0.84417,-0.03669,-4.9216
GPT-5.4,Pleural Other,age,60-79,<40,9360,3754,0.84252,0.88759,-0.04507,-6.6331
GPT-5.4,Fracture,age,60-79,<40,9360,3754,0.68739,0.73548,-0.04809,-5.4379
GPT-5.4,Support Devices,age,60-79,<40,9360,3754,0.80962,0.8407,-0.03109,-4.1752
Qwen2.5-VL-3B,No Finding,age,60-79,<40,3728,1503,0.65719,0.67598,-0.01879,-1.3008
Qwen2.5-VL-3B,Enlarged Cardiomediastinum,age,60-79,<40,3728,1503,0.45306,0.59082,-0.13776,-9.0183
Qwen2.5-VL-3B,Cardiomegaly,age,60-79,<40,3728,1503,0.522,0.65336,-0.13136,-8.6607
Qwen2.5-VL-3B,Lung Opacity,age,60-79,<40,3728,1503,0.43616,0.52029,-0.08413,-5.5246
