item_idx,image_path,pathology,intercept_Z,loading_V_0,loading_V_1,loading_V_2
110,CheXpert-v1.0/train/patient64558/study1/view1_frontal.jpg,Edema,2.408648,-1.309918,-1.054796,0.164827
111,CheXpert-v1.0/train/patient64558/study1/view1_frontal.jpg,Atelectasis,0.553900,-0.307096,-2.933615,-2.445882
112,CheXpert-v1.0/train/patient64558/study1/view1_frontal.jpg,Pleural Effusion,1.937696,-0.854141,-0.809458,-0.955631
113,CheXpert-v1.0/train/patient64558/study1/view1_frontal.jpg,Support Devices,0.899818,-2.153485,-1.093800,-1.487238
114,CheXpert-v1.0/train/patient64558/study1/view2_lateral.jpg,Cardiomegaly,1.844631,-4.373550,0.435895,0.970648
115,CheXpert-v1.0/train/patient64558/study1/view2_lateral.jpg,Lung Opacity,2.167665,-4.341737,-0.717608,1.940847
116,CheXpert-v1.0/train/patient64558/study1/view2_lateral.jpg,Edema,3.074543,-3.828558,0.059246,0.979047
117,CheXpert-v1.0/train/patient64558/study1/view2_lateral.jpg,Atelectasis,1.844034,-3.725333,1.213507,0.943733
118,CheXpert-v1.0/train/patient64558/study1/view2_lateral.jpg,Pleural Effusion,2.304139,-3.885847,-0.132970,1.470462
119,CheXpert-v1.0/train/patient64558/study1/view2_lateral.jpg,Support Devices,2.677637,-3.300940,1.120686,0.077556
120,CheXpert-v1.0/train/patient64559/study1/view1_frontal.jpg,Cardiomegaly,4.909038,-2.376549,0.944979,0.263799
121,CheXpert-v1.0/train/patient64559/study1/view1_frontal.jpg,Lung Opacity,1.851861,-2.291678,-1.009472,-0.806541
122,CheXpert-v1.0/train/patient64559/study1/view1_frontal.jpg,Edema,2.907987,-2.771644,0.562084,0.473105
123,CheXpert-v1.0/train/patient64559/study1/view1_frontal.jpg,Atelectasis,1.200108,-3.976611,0.217800,1.009603
124,CheXpert-v1.0/train/patient64559/study1/view1_frontal.jpg,Pleural Effusion,2.440393,-3.448485,0.179048,1.351068
125,CheXpert-v1.0/train/patient64559/study1/view1_frontal.jpg,Support Devices,1.628424,-3.309422,1.041356,0.743605
126,CheXpert-v1.0/train/patient64559/study1/view2_lateral.jpg,Cardiomegaly,0.918727,-1.041392,-1.123295,-1.842014
127,CheXpert-v1.0/train/patient64559/study1/view2_lateral.jpg,Lung Opacity,2.174998,-0.960147,-2.008430,-1.229603
128,CheXpert-v1.0/train/patient64559/study1/view2_lateral.jpg,Edema,3.539281,-1.287292,-0.793253,-0.383887
129,CheXpert-v1.0/train/patient64559/study1/view2_lateral.jpg,Atelectasis,1.398568,-2.719317,-1.460310,0.037760
130,CheXpert-v1.0/train/patient64559/study1/view2_lateral.jpg,Pleural Effusion,1.721877,-2.238919,2.243589,-3.467087
131,CheXpert-v1.0/train/patient64559/study1/view2_lateral.jpg,Support Devices,4.329296,-0.367022,-1.744054,-0.983175
132,CheXpert-v1.0/train/patient64560/study1/view1_frontal.jpg,Cardiomegaly,1.671755,-1.817621,-0.103262,-0.765855
133,CheXpert-v1.0/train/patient64560/study1/view1_frontal.jpg,Lung Opacity,2.677353,-1.033184,-1.658767,-1.435539
134,CheXpert-v1.0/train/patient64560/study1/view1_frontal.jpg,Edema,1.496599,-0.737583,-0.839162,-2.954541
135,CheXpert-v1.0/train/patient64560/study1/view1_frontal.jpg,Atelectasis,1.501143,-1.928694,-0.681071,-1.199523
136,CheXpert-v1.0/train/patient64560/study1/view1_frontal.jpg,Pleural Effusion,1.222360,-0.699565,-2.682860,-1.680832
137,CheXpert-v1.0/train/patient64560/study1/view1_frontal.jpg,Support Devices,1.778075,-2.654725,-0.608363,-2.258666
138,CheXpert-v1.0/train/patient64560/study1/view2_lateral.jpg,Cardiomegaly,1.041555,-1.530714,-1.248339,-0.889566
139,CheXpert-v1.0/train/patient64560/study1/view2_lateral.jpg,Lung Opacity,-1.744183,1.617078,1.570968,1.013831
140,CheXpert-v1.0/train/patient64560/study1/view2_lateral.jpg,Edema,2.910360,-1.543489,-1.420409,-2.260252
